threshold,true_accept,false_accept,true_refusal,false_refusal,precision,recall,f1,balanced_accuracy,answer_coverage,false_acceptance_rate,false_refusal_rate
0.3,9,5,1,0,0.6428571428571429,1.0,0.782608695652174,0.5833333333333334,0.9333333333333333,0.8333333333333334,0.0
0.35,9,5,1,0,0.6428571428571429,1.0,0.782608695652174,0.5833333333333334,0.9333333333333333,0.8333333333333334,0.0
0.4,9,5,1,0,0.6428571428571429,1.0,0.782608695652174,0.5833333333333334,0.9333333333333333,0.8333333333333334,0.0
0.45,9,5,1,0,0.6428571428571429,1.0,0.782608695652174,0.5833333333333334,0.9333333333333333,0.8333333333333334,0.0
0.5,9,5,1,0,0.6428571428571429,1.0,0.782608695652174,0.5833333333333334,0.9333333333333333,0.8333333333333334,0.0
0.55,9,5,1,0,0.6428571428571429,1.0,0.782608695652174,0.5833333333333334,0.9333333333333333,0.8333333333333334,0.0
0.6,9,3,3,0,0.75,1.0,0.8571428571428571,0.75,0.8,0.5,0.0
0.65,9,2,4,0,0.8181818181818182,1.0,0.9,0.8333333333333333,0.7333333333333333,0.3333333333333333,0.0
0.7,6,0,6,3,1.0,0.6666666666666666,0.8,0.8333333333333333,0.4,0.0,0.3333333333333333
0.75,4,0,6,5,1.0,0.4444444444444444,0.6153846153846153,0.7222222222222222,0.26666666666666666,0.0,0.5555555555555556
0.8,1,0,6,8,1.0,0.1111111111111111,0.19999999999999998,0.5555555555555556,0.06666666666666667,0.0,0.8888888888888888
